title,abstract
Alginate-chitosan Hydrogel Patch with Beta-glucan Nanoemulsion for Antibacterial Applications,"Natural polymer materials have high biocompatibility and are not toxic because they can decompose into metabolites in the body; thus, they are widely used as medical polymer materials as well as porous support materials. As a biopolymer, alginate has a negative charge; in contrast, chitosan has a positive charge. Therefore, when the two substances are mixed, they form a relatively stable structure by ionic bonding. Beta-glucan is known to contribute to material stability and have high skin penetration, skin moisturizing and soothing effects, and burn and wound healing effects. In this study, antimicrobial activity was assessed by preparing alginate-chitosan hydrogel patches containing beta-glucan nanoemulsions. This could contribute to the development of wound dressings with antibacterial properties."
The Use of Fluorescently Labeled ARC1779 Aptamer for Assessing the Effect of H2O2 on von Willebrand Factor Exocytosis,"Here, we propose a new approach for quantitative estimation of von Willebrand factor (vWF) exposed on the surface of endothelial cells (ECs) using the ARC1779 aptamer that interacts with the vWF A1 domain. To visualize complex formation between vWF and the aptamer, the latter was conjugated with the Cy5 fluorescent label. Cultured human umbilical vein endothelial cells (HUVEC) were stained with the ARC1779-Cy5 conjugate and imaged with a fluorescence microscope. The images were analyzed with the CellProfiler software. vWF released from the Weibel–Palade bodies was observed as bright dot-like structures of round and irregular shape, the number of which increased several times after HUVEC exposure to histamine or thrombin. Staining with ARC1779-Cy5 also revealed long filamentous vWF structures on the surface of activated HUVEC. vWF secretion by ECs is activated by the second messengers cAMP and Ca2+. There is evidence that hydrogen peroxide also acts as a second messenger in ECs. In addition, exogenous H2O2 formed in leukocytes can enter ECs. The aim of our study was to determine the effect of H2O2 on the vWF exposure at the surface of HUVEC using the proposed method. It was shown that hydrogen peroxide at concentration 100 µM, which is lower than the cytotoxicity threshold of H2O2 for cultured HUVEC, increased several times the number of dot-like structures and total amount of vWF exposed on plasma membrane of HUVEC, which suggest that H2O2 acts as a mediator that activates exocytosis of Weibel–Palade bodies and vWF secretion in the vascular endothelium during inflammation and upon elevated generation of endogenous reactive oxygen species in ECs."
Eine innovative Karosseriefertigung für ein innovatives Produkt,
"""Im Mittelpunkt steht der Mensch""",
Effizient ans Ziel,
Ein neues Level der  User Experience  auf allen Plätzen,
Karosseriearchitektur verleiht Dynamik und Komfort,
Lichtprojektionen  für mehr Sicherheit,
Produktdatenmanagement über den gesamten Lebenszyklus,
Factory56 - Neue Montagehalle  für die nachhaltige Produktion,
Characterization of gait variability in multiple system atrophy and Parkinson’s disease,Gait impairment is a pivotal feature of parkinsonian syndromes and increased gait variability is associated with postural instability and a higher risk of falls.
Public perception of air pollution sources across Europe,"Air pollution is one of the primary concerns of our society for its effect on human health and the environment. Among the policy measures that can be put in place to limit air pollutant emissions, end-of-pipe technologies and/or regulatory instruments may be implemented through legislative acts. Also, equally important are behavioural measures, requiring citizens’ active involvement. The success of any measure to limit pollutant emissions requires the acceptance by the citizens that, in turn, implies a correct perception of the main pollutant emission drivers. We present here the comparison between the public perception of air pollution sources and the real-world situation through a survey carried out in seven European countries and involving 16 101 respondents. Our study shows a dramatic underestimation of the contribution of the agri-food sector to air pollution. This result is common to all respondents in the seven countries examined and only to a small extent depends on gender, age and socio-economic status of the respondents."
State of the art in esophagectomy: robotic assistance in the abdominal phase,"Over the years, robot-assisted esophagectomy gained popularity. The current literature focused mainly on robotic assistance in the thoracic phase, whereas the implementation of robotic assistance in the abdominal phase is lagging behind. Advantages of adding a robotic system to the abdominal phase include robotic stapling and the increased surgeon’s independency. In terms of short-term outcomes and lymphadenectomy, robotic assistance is at least equal to laparoscopy. Yet high quality evidence to conclude on this topic remains scarce. This review focuses on the evidence of robotic assistance in the abdominal phase of esophagectomy."
"Calcium intake, calcium supplementation and cardiovascular disease and mortality in the British population: EPIC-norfolk prospective cohort study and meta-analysis","The role of dietary calcium in cardiovascular disease prevention is unclear. We aimed to determine the association between calcium intake and incident cardiovascular disease and mortality. Data were extracted from the European Prospective Investigation of Cancer, Norfolk (EPIC-Norfolk). Multivariable Cox regressions analysed associations between calcium intake (dietary and supplemental) and cardiovascular disease (myocardial infarction, stroke, heart failure, aortic stenosis, peripheral vascular disease) and mortality (cardiovascular and all-cause). The results of this study were pooled with those from published prospective cohort studies in a meta-analsyis, stratifying by average calcium intake using a 700 mg/day threshold. A total of 17,968 participants aged 40–79 years were followed up for a median of 20.36 years (20.32–20.38). Compared to the first quintile of calcium intake (< 770 mg/day), intakes between 771 and 926 mg/day (second quintile) and 1074–1254 mg/day (fourth quintile) were associated with reduced all-cause mortality (HR 0.91 (0.83–0.99) and 0.85 (0.77–0.93), respectively) and cardiovascular mortality [HR 0.95 (0.87–1.04) and 0.93 (0.83-1.04)]. Compared to the first quintile of calcium intake, second, third, fourth, but not fifth quintiles were associated with fewer incident strokes: respective HR 0.84 (0.72–0.97), 0.83 (0.71–0.97), 0.78 (0.66–0.92) and 0.95 (0.78–1.15). The meta-analysis results suggest that high levels of calcium intake were associated with decreased all-cause mortality, but not cardiovascular mortality, regardless of average calcium intake. Calcium supplementation was associated with cardiovascular and all-cause mortality amongst women, but not men. Moderate dietary calcium intake may protect against cardiovascular and all-cause mortality and incident stroke. Calcium supplementation may reduce mortality in women."
Fine-grained management of I/O optimizations based on workload characteristics,"With the advent of new computing paradigms, parallel file systems serve not only traditional scientific computing applications but also non-scientific computing applications, such as financial computing, business, and public administration. Parallel file systems provide storage services for multiple applications. As a result, various requirements need to be met. However, parallel file systems usually provide a unified storage solution, which cannot meet specific application needs. In this paper, an extended file handle scheme is proposed to deal with this problem. The original file handle is extended to record I/O optimization information, which allows file systems to specify optimizations for a file or directory based on workload characteristics. Therefore, fine-grained management of I/O optimizations can be achieved. On the basis of the extended file handle scheme, data prefetching and small file optimization mechanisms are proposed for parallel file systems. The experimental results show that the proposed approach improves the aggregate throughput of the overall system by up to 189.75%."
Molecular surveillance and temporal monitoring of malaria parasites in focal Vietnamese provinces,"While the World Health Organization (WHO) Southeast Asia region has the second highest incidence of malaria worldwide, malaria in Vietnam is focal to few provinces, where delayed parasite clearance to anti-malarial drugs is documented. This study aims to understand Plasmodium species distribution and the genetic diversity of msp1 and msp2 of parasite populations using molecular tools."
Real world analysis of high-cut-off (HCO) hemodialysis with bortezomib-based backbone therapy in patients with multiple myeloma and acute kidney injury,"In patients with multiple myeloma (MM) free light chain-induced cast nephropathy is a serious complication associated with poor survival. High-cut-off (HCO) hemodialysis can reduce the amount of serum free light chains (sFLC), but data on its impact on clinical outcome is limited and contradictory. To gain further insights we collected real world data from two major myeloma and nephrology centers in Austria and the Czech Republic."
Effect of sodium bicarbonate supplementation on the renin-angiotensin system in patients with chronic kidney disease and acidosis: a randomized clinical trial,"Acidosis-induced kidney injury is mediated by the intrarenal renin-angiotensin system, for which urinary renin is a potential marker. Therefore, we hypothesized that sodium bicarbonate supplementation reduces urinary renin excretion in patients with chronic kidney disease (CKD) and metabolic acidosis."
Freeze-in dark matter from secret neutrino interactions,"We investigate a simplified freeze-in dark-matter model in which the dark matter only interacts with the standard-model neutrinos via a light scalar. The extremely small coupling for the freeze-in mechanism is naturally realized in several neutrino-portal scenarios with the secret neutrino interactions. We study possible evolution history of the hidden sector: the dark sector would undergo pure freeze-in production if the interactions between the dark-sector particles are negligible, while thermal equilibrium within the dark sector could occur if the reannihilation of the dark matter and the scalar mediator is rapid enough. We investigate the relic abundance in the freeze-in and dark freeze-out regimes, calculate evolution of the dark temperature, and study its phenomenological aspects on BBN and CMB constraints, the indirect-detection signature, as well as the potential to solve the small scale structure problem."
Large p explorations. From SUGRA to big STRINGS in Mellin space,"We explore a new way of probing scattering of closed strings in AdS5 × S5, which we call ‘the large p limit’. It consists of studying four-point correlators of single-particle operators in \( \mathcal{N} \) = 4 SYM at large N and large ’t Hooft coupling λ, by looking at the regime in which the dual KK modes become short massive strings. In this regime the charge of the single-particle operators is order λ1/4 and the dual KK modes are in between fields and strings. Starting from SUGRA we compute the large p limit of the correlators by introducing an improved AdS5 × S5 Mellin space amplitude, and we show that the correlator is dominated by a saddle point. Our results are consistent with the picture of four geodesics shooting from the boundary of AdS5 × S5 towards a common bulk point, where they scatter as if they were in flat space. The Mandelstam invariants are put in correspondence with the Mellin variables and in turn with certain combinations of cross ratios. At the saddle point the dynamics of the correlator is directly related to the bulk Mellin amplitude, which in the process of taking large p becomes the flat space ten-dimensional S-matrix. We thus learn how to embed the full type IIB S-matrix in the AdS5 × S5 Mellin amplitude, and how to stratify the latter in a large p expansion. We compute the large p limit of all genus zero data currently available, pointing out additional hidden simplicity of known results. We then show that the genus zero resummation at large p naturally leads to the Gross-Mende phase for the minimal area surface around the bulk point. At one-loop, we first uncover a novel and finite Mellin amplitude, and then we show that the large p limit beautifully asymptotes the gravitational S-matrix."
Targeted methods for epigenetic age predictions in mice,"Age-associated DNA methylation reflects aspect of biological aging—therefore epigenetic clocks for mice can elucidate how the aging process in this model organism is affected by specific treatments or genetic background. Initially, age-predictors for mice were trained for genome-wide DNA methylation profiles and we have recently described a targeted assay based on pyrosequencing of DNA methylation at only three age-associated genomic regions. Here, we established alternative approaches using droplet digital PCR (ddPCR) and barcoded bisulfite amplicon sequencing (BBA-seq). At individual CG dinucleotides (CpGs) the correlation of DNA methylation with chronological age was slightly higher for pyrosequencing and ddPCR as compared to BBA-seq. On the other hand, BBA-seq revealed that neighboring CpGs tend to be stochastically modified at murine age-associated regions. Furthermore, the binary sequel of methylated and non-methylated CpGs in individual reads can be used for single-read predictions, which may reflect heterogeneity in epigenetic aging. In comparison to C57BL/6 mice the single-read age-predictions using BBA-seq were also accelerated in the shorter-lived DBA/2 mice, and in C57BL/6 mice with a lifespan quantitative trait locus of DBA/2 mice. Taken together, we describe alternative targeted methods for epigenetic age predictions that provide new perspectives for aging-intervention studies in mice."
