title,abstract
Applying a severity-performance loss analysis in service failure research,"This study addresses the shortage of traditional service failure assessment. To strengthen and extend the qualitative interviews and critical incident technique in service encounter research, this study performed a quantitative and graphical “severity-performance loss analysis (SPLA).” The concept of “importance- performance analysis” was used and the frequency and severity of service failures generated from critical incident technique were integrated on a chart to assess service performance loss for different failure categories. The results yield important insights into which failure categories may require attention and effort, and identify service failure categories which offer an advantage, or require continued vigilance. It can help managers identify the service failures and implement more effective and precise improvement strategies in service operations management."
Software as a service based CRM providers in the cloud computing: Challenges and technical issues,"In recent year, cloud computing as a new internet-based computing model provides different service providers dynamically. Today, Software-as-a-service (SaaS) is one of main key points of the computing procedure. However, by raising user interactions, the complexity of the cloud processes is increasing with the advancement of technology. Therefore, providing appropriate services to response the Customer Relationship Management (CRM) applications are challengeable in cloud environments. To the best of our knowledge, there is no any systematic and detailed review in the field of the SaaS based CRM providers in cloud computing. Therefore, this paper categorizes the SaaS features based on key points of the CRM providers. The SaaS features compared with each other according to important factors of the CRM providers such as business size, service deployment, ease of use, availability and efficiency. The advantages and disadvantages of each provider discussed as well as providing some hints for solving their problems."
Agricultural insurance-agricultural productivity nexus: Evidence from international data,"This article examines the relationship between the development of the agricultural insurance market (using the penetration measure) and the agricultural productivity growth in the context of various factors potentially influencing such relationships. We employ a panel data static model for 23 countries in two continents during the 2000-2015 period. Our main finding is that the development of agricultural insurance market has a positive effect on agricultural productivity growth. Moreover, we show that the conditional variables of a high level of agricultural insurance market penetration, a high level of agriculture credit, a high level of farmers’ education, and a moderated level of agricultural risk management (a low level of expost compensation supplied by the governments in case of catastrophic risks) alleviate the positive impacts of the development of the agricultural insurance market on agricultural productivity growth. By contrast, the conditional variables of a low level of natural risks (drought, floods, and extreme temperatures) and a low level of yield risks strengthen the positive impacts of the development of the agricultural insurance market on agricultural productivity growth."
Medical tourism services: The role of patients’ perceived health consciousness and value,"Medical tourism is traveling to another country for medical services. The transformation of global healthcare system is opening the floodgates for medical tourism. Many factors influence the decision to seek medical tour overseas. Health value in terms of biologically given and personally acquired potentials is based on patient health consciousness, pushing individual take healthy action. The aim of this study is to examine the factors (e.g., consumer’s health consciousness and perceived health value) that affect the satisfaction of medical tourism services. Also, the study considers demography character (e.g., age, gender, income level and health insurance) as moderating effect between satisfaction and loyalty. The data was collected 427 medical tourists’ data for inbound Korean medical tourist. The results show importance of motivating health value regarding medical tourism service’s satisfaction and loyalty while no impact on patients perceived satisfaction and loyalty. Through the results, medical tourism manager will need to develop medical tourism services that can stimulate consumer health values."
Hakim Mohammad: A Persian Military Surgeon in Safavid Era (1501–1736 CE),"Wars and injuries have accompanied mankind throughout history. Physicians and surgeons from various civilizations made difficult attempts to manage wounds and injuries. Among various civilizations, the Persian Empires had great armies which were well equipped. One of the most important organizations in Persian troops was the military surgery."
Zorg op maat voor diabetes mellitus type 2,"Inleiding De NHG-Standaard Diabetes mellitus type 2 raadt aan om bij het behandelen van hyperglykemie rekening te houden met leeftijd, diabetesduur en intensiteit van de bestaande behandeling. Ook voor hypertensie en dyslipidemie wordt aangeraden de standaardwaarden voor de behandeldoelen (HbA1c, systolische bloeddruk en LDL-cholesterol) aan te passen aan de individuele patiënt. Wij onderzochten de meerwaarde van deze benadering."
Seismic performance of low-rise intermediate steel moment frame buildings in South Korea,"The seismic performance of low-rise intermediate steel moment frame buildings following design practices of South Korea was investigated and its benefit was presented in comparison with those of customary design practice in the United States. The major features in the design and construction practices in South Korea are that the entire frames of the building are designed to resist the lateral load and beam-to-column connections are fabricated in factories. In contrast, in the United States, only exterior frames resist the lateral load and the entire beam-to-column connections are welded at the construction site. To investigate the effects of distinctive design practices on seismic performance, the example buildings were designed and evaluated with the procedure in FEMA 355F. The effect of panel zone deformation in addition to story drift was considered in performance evaluation. The evaluation results showed that the seismic performance of the buildings designed in accordance with the practice in South Korea were not significantly different from those in the United States. Therefore, design and construction practices in South Korea are a competitive way for intermediate steel moment frame buildings."
Axial load capacity of cold-formed steel built-up stub columns,"This paper aims to investigate the axial load capacity of innovative cold-formed steel (CFS) built-up stub columns. Four innovative CFS built up section is presented in this paper. Each section is composed of combination of more than two elements as follows: channels, channels with lip, Sigma section and/or plates. The elements of each section are assembled together by using self tapping screws. The concentric axial load capacity of each of the four sections was investigated numerically by using finite element (FE) model using ABAQUS program. The FE model was verified against previous test data. The FE model was used to study different parameters that affect the load capacities of the innovative CFS built-up stub columns, these parameters are: columns profile, steel thickness, steel grade and longitudinal spacing between screws (fasteners), cross sectional area. The axial load capacities obtained from FE models are compared with the perdition of the Effective width (EW) method (available in Eurocode, Egyptian code, American and Australian standards) and direct strength (DS) method (Available in American and Australian standards)."
Motion-based optimum design of a slender steel footbridge and assessment of its dynamic behaviour,"The improvement of construction materials together with the current aesthetic requirements has led the modern footbridges to a continuous increase in their slenderness. For this reason, the design of their structural systems is mainly conditioned by its dynamic response under pedestrian action. For long-span footbridges, control devices are needed to prevent unacceptable dynamic responses while providing economical designs. However, for medium-span footbridges, it is still possible to control their dynamic response via the modification of their natural frequencies. In this paper, an alternative motion-based design method is first proposed and further implemented for the design of a real footbridge. The main idea of this approach is to optimally determine the structural stiffness distribution to verify an adequate comfort class, while minimizing the self-weight. Furthermore, the uncertainties of its modal parameters are considered during its design. After the construction of the footbridge, its dynamic behaviour was experimentally assessed, with satisfactory results."
Cyclic behavior of concentrically braced frames with built-up braces composed of channel sections,"Concentrically braced frames are earthquake resistant systems commonly used in buildings. Seismic behavior of this type of structures is affected by their configurations, brace properties, and brace to gusset plate connections. In this paper, the results of three experiments conducted to investigate the cyclic behavior of concentrically braced frames with braces built-up of double channels are reported. Significant damage was observed in beam to column connections. Large out of plane deformation of braces caused some cracks in the connector welds; however they did not result in fracture. Although large drift was applied to the frames, no brace fracture was observed. Furthermore, experiments showed that the majority of compressive strength in post-buckling state and a noticeable portion of tensile strength originated from frame action. By choosing connector spacing as the main parameter and using finite element models, a parametric study was performed to investigate the effect of this parameter on this type of frames with two different details of brace to gusset plate connections. It is observed that reducing the connector spacing increases the inelastic strain demand in braces and decreases it in gusset plates. However, gusset plates, which accommodate 2t linear clearance, are less dependent on connector spacing, compared to those accommodating 6t elliptical clearance. It seems that the limitations of slenderness ratio of individual section, stipulated in current seismic provisions, need further study."
