title,abstract
"Inflation persistence, learning dynamics and the rationality of inflation expectations","The rational expectations hypothesis for survey and model-based inflation forecasts—from the Survey of Professional Forecasters and the Greenbook respectively—is examined by properly taking into account the persistence characteristics of the data. The finding of near-unit-root effects in the inflation and inflation expectations series motivates the use of a local-to-unity specification of the inflation process that enables us to test whether the data are generated by locally non-stationary or stationary processes. Thus, we test, rather than assume, stationarity of near-unit-root processes. The paper combines the concept of localities in the underlying time series, such as those that may exist in the sample but not in the population, with cointegration analysis which permits the distinction between short-run and long-run structures. Thus, we examine possible in-sample departures from rationality both in the short run and the long run. Our empirical results indicate that the rational expectations hypothesis holds in the long run, while forecasters adjust their expectations slowly in the short run. This finding lends support to the hypothesis that the persistence of inflation comes from the dynamics of expectations."
Exchange rate persistence of the Chinese yuan against the US dollar in the NDF market,"This article analyses the persistence of the exchange rates of the Chinese yuan against the US dollar in the NDF market during 1999–2012 with fractional integration technique. It concludes that the exchange rates are I(d) with d close to 1 though statistically significantly below 1, suggesting a small degree of mean reverting behaviour. And the squared returns display long memory with an order of integration of about 0.2. Moreover, the unit root null hypothesis cannot be rejected during the years during 2006–2011 when the international financial crisis broke out and the exchange rate regime reform implemented. At last, we notice that d in the original series is highly negatively correlated with respect to the mean and the variance in the exchange rates, while it is positively correlated with them in the squared returns. And policy implications are also suggested."
"Synthesis, Structural and Optical Characterization of MgO Nanocrystalline Embedded in PVA Matrix","Nano-magnesium oxide (MgO) was prepared by wet chemical method using magnesium chloride and sodium hydroxide as precursors and soluble gelatin as stabilizing agent in this paper. The synthesized nano MgO was characterized by XRD, SEM, and FTIR. The results showed that the size of nano-MgO was about 20.62 nm. Polyvinyl alcohol (PVA) polymer based nanocomposites, with different concentrations of MgO (1, 2, 3, 4 wt%), have been prepared using solvent casting technique. The results of SEM revealed that the MgO nanoparticles are uniformly distributed in PVA polymer matrix. FTIR analysis evidently saw the interaction between MgO with hydroxyl group of PVA through hydrogen bonding. The influences of MgO nanoparticle on the optical characterisation of PVA have been considered using UV–Vis–NIR spectroscopy. Energy band gap and tail of localized state of PVA/MgO nanocomposites have been calculated by using Tauc and Urbach relations, respectively. The band gap of the nanocomposites samples decreases as MgO wt% increases. Wemple-DiDomenico single-oscillator model has been applied to analyze the dispersion of the refractive index of the films, and the dispersion parameters are calculated to obtain the information about disorder degree."
Feature Tracking-Derived Peak Systolic Strain Compared to Late Gadolinium Enhancement in Troponin-Positive Myocarditis: A Case–Control Study,"Cardiac magnetic resonance (CMR) assesses myocardial involvement in myocarditis (MYO). Current techniques are qualitative, subjective, and prone to interpretation error. Feature tracking (FT) analyzes myocardial strain using CMR and has not been examined in MYO. We hypothesize that regional left ventricular (LV) strain is abnormal in MYO. Regional strain by FT was compared to late gadolinium enhancement (LGE) and troponin leak as measures of myocardial involvement. This single-center, retrospective CMR study reviewed patients with clinical MYO and structurally normal hearts who underwent CMR at our institution. Young adults with normal cardiac anatomy, function, and absent LGE served as controls. MYO patients with documented troponin leak and normal global ejection fraction (EF > 50 %) were included in comparison. FT determined regional myocardial peak systolic strain (pkS) in longitudinal and circumferential distributions. T tests compared strain values between cases and controls. Receiver operating characteristic curves determined pkS values with highest sensitivity and specificity for concurrent troponin leak and LGE. FT was performed on 57 patients: 37 MYO and 20 controls. Twenty-eight cases with normal EF, and 20 control patients were included in final analysis. Nearly all cases with normal function demonstrated abnormal regional pkS (27/28, 96 %). Cases had significantly diminished pkS when compared to controls in all regions except the longitudinal 2C distribution. FT-derived longitudinal and circumferential pkS is sensitive and specific in identifying myocardial involvement, namely the presence of troponin leak and LGE. FT may be a useful adjunctive, objective measure of myocardial involvement in patients with MYO and normal LV function."
2-Level error (drift) compensation for low-cost MEMS-based inertial measurement unit (IMU),"In this paper, we extend the 1-level compensation method for MEMS-based IMUs, dealing mainly with stochastic drifts, described in our previous work Yudanto et al. (Proc SPIE, 9517:95,172H-95–95,172H-12, 2015) to a 2-level compensation method dealing with both stochastic and temperature drifts. While the 1-level compensation method is based on an automatic detection of systems states which triggers an online recalibration of the sensors parameters, the 2-level compensation method extends the 1-level compensation method by using a model-based approach to remove the temperature influences in the sensors outputs. The 2-level compensation schemes are then integrated together to allow an algorithmic framework that can be used in an easy way to auto-calibrate MEMS-based IMUs. Experiments using an industrial MEMS-based IMU under various operating conditions have been conducted to demonstrate the added value of the 2-level compensation method. The experimental results show that the estimations of acceleration and angular velocity based on the 2-level compensation method are in general more accurate than the ones obtained based on the 1-level compensation method."
Pd Loaded TiO2 Nanotubes for the Effective Catalytic Reduction of p-Nitrophenol,"Titania nanotubes decorated with Pd nanoparticles were synthesised by a hydrothermal method. The increased amounts of Pd concentration is found to facilitate the anatase to rutile crystalline phase transformation as well as in collapse of the morphology as revealed by X-ray diffraction, Raman spectroscopy, scanning and transmission electron microscopy. The presence of metallic as well as the oxidized form (PdO2) of surface metal ions was characterized by using XPS. The catalytic activity of the Pd loaded titania nanotubes has been demonstrated by studying the reduction of p-nitrophenol to p-aminophenol. The 1.0 mol% Pd loaded titania nanotubes has been found to exhibit optimum catalytic activity (rate constant of 0.7072 min−1) while those with higher amounts of Pd loading showed lower catalytic activity. It is observed that retention of tubular morphology and higher anatase content play significant roles in their catalytic activity."
Ternary CoAgPd Nanoparticles Confined Inside the Pores of MIL-101 as Efficient Catalyst for Dehydrogenation of Formic Acid,"Highly dispersed ternary CoAgPd nanoparticles with different composition have been successfully immobilized on the metal-organic frameworks (MIL-101) by using a simple liquid impregnation method for the first time. The molecular scale electronic synergistic effect between non-noble metal Co and AgPd NPs and the confinement effect of MIL-101 are the crucial roles for the improvement of catalytic performances toward dehydrogenation of formic acid under mild conditions. The resultant catalysts are composition dependent toward dehydrogenation of formic acid, while Co9Ag21Pd70@MIL-101 exhibits exceedingly high catalytic activity, with the turnover frequency value of 98 h−1, and 100 % hydrogen selectivity at 50 °C."
Carbon Coated Metal Nanoparticles for Electrocatalysis,"To promote the performance of nanoparticle electrocatalysts, a facile hydrothermal method is developed to generate core–shell nanocomposites with a metal catalyst core and a carbon shell. In this method, glucose serves as the reducing agent and carbon precursor while cetyltrimethylammonium surfactants serve as both pore structure-directing agents and nanoparticle capping agent. The accessibility of the metal catalyst core was examined by gas-phase ethylene hydrogenation and the electrocatalytic activity was tested by formic acid oxidation (FOR). The selection of halide counter ions used during the synthesis was found to be critical. The optimized sample of Pd-carbon nanocomposite exhibits a FOR current density of 2.55 mA/cm2, which is higher than that of un-coated Pd nanoparticles with no support (0.89 mA/cm2) and with carbon nanotube support (1.08 mA/cm2)."
"Efficient Synthesis of α-Chloroketones Catalyzed by Fluorous Hydrazine-1,2-Bis(Carbothioate) Organocatalyst",A novel and recoverable fluorous hydrazine-carbothioate organocatalyst was prepared. It could catalyze α-chlorination of alkyl ketones with N-chlorosuccinimide as chlorine source under mild reaction conditions. The reaction afforded the corresponding α-chlorinated carbonyl compounds with excellent yields at rapid reaction speed.
Conversion of Poly(methylhydrosiloxane) Waste to Useful Commodities,"Poly(methylhydrosiloxane) [PMHS, R(OSiMeH)nOR] is applied in chemistry as cheap, low-toxic, air and moisture stable reducing reagent. However, along with the desired products significant amounts of silicone waste is produced, since only ~1.7 % of the PMHS is employed for the reduction process. The formation of PMHS-waste reduces the sustainability of such reduction protocols. For instance PMHS can be applied as reagent (a) in the methanolysis to produce molecular hydrogen; (b) in the reduction of sulfoxides to form the corresponding sulfides; (c) in the hydrodeoxygenation of fatty esters to produce hydrocarbons. An option for the treatment of the PMHS-waste can be the application of depolymerization methods to convert it to useful commodities. In more detail, the silicone waste is reacted in a depolymerization reaction with boron trifluoride diethyl etherate (BF3OEt2) to produce methyltrifluorosilane (MeSiF3) and difluoromethylsilane (MeSiF2H), which can be interesting building blocks for the silicone industry, overall demonstrating a resource conserving process."
