title,abstract
Extreme vocabulary learning,"Regarding extreme value theory, the unseen novel classes in the open-set recognition can be seen as the extreme values of training classes. Following this idea, we introduce the margin and coverage distribution to model the training classes. A novel visual-semantic embedding framework — extreme vocabulary learning (EVoL) is proposed; the EVoL embeds the visual features into semantic space in a probabilistic way. Notably, we adopt the vast open vocabulary in the semantic space to help further constraint the margin and coverage of training classes. The learned embedding can directly be used to solve supervised learning, zero-shot learning, and open set recognition simultaneously. Experiments on two benchmark datasets demonstrate the effectiveness of the proposed framework against conventional ways."
Promoting an Internal Market-Oriented Culture (IMOC) in Healthcare Services,"It is essential for healthcare service organizations to develop and promote an organizational culture that focuses on their frontline employees. The aim of this study is to explore one such frontline-focused organizational culture concept, which is labeled as internal market-oriented culture (IMOC). The study examines both potential factors that promotes IMOC as well as potential outcomes of IMOC. The concept of IMOC was tested in a quantitative study were frontline employees in public hospitals participated. The findings reveal that both management focus on employees and interdepartmental cooperation promotes an organization’s IMOC. IMOC was found to have a direct effect on frontline employees’ overall job satisfaction and turnover intentions. In addition, the relationship between IMOC and employees’ turnover intentions was found to be mediated by employees’ job satisfaction. No previous research has focused on how to promote IMOC in healthcare services, which makes this study a unique contribution to service research."
Co-creation of Service Recovery and Post-Recovery Responses: The Impact of Cultural Values Orientations and Outcome Favorability,"It is now well established from a variety of studies, that service recovery is essential for service providers to retrieve the customer’s satisfaction after the service failure. Recent evidence suggests that the co-creation of service recovery has a positive outcome for both service providers and customers. However, very little is currently known about the impact of customers’ cultural orientations in implementing co-creation of service recovery. In the present research, using an experimental design, first we examined the impact of co-creation on the perception of outcome favorability for the customers with high/low cultural values orientations and second, we measure the influence of perception of outcome favorability on the customer’s post-recovery responses. The result revealed that the co-creation of recovery attributes is indeed associated with a higher perception of outcome favorability for customers with higher cultural values. The result also indicated that the customer’s perception of outcome favorability is positively associated with satisfaction and repurchase intention."
Is the subtropical jet shifting poleward?,"The tropics are expanding poleward at about \(0.5{^\circ }\) per decade in observations. This poleward expansion of the circulation is consistently reported using Hadley cell edge metrics and lower-atmospheric tropical edge metrics. However, some upper-atmospheric tropical metrics report smaller trends that are often not significant. One such upper-atmospheric metric is the subtropical jet latitude, which has smaller trends compared to the Hadley cell edge. In this study we investigate the robustness of the weak trends in the subtropical jet position by introducing a new method for locating the subtropical jet, and examining the trends and variability of the subtropical jet latitude. We introduce the tropopause gradient method based on the peak gradient in potential temperature along the dynamic tropopause. Using this method we find the trends in the subtropical jet latitude are indeed much smaller than \(0.5{^\circ }\) per decade, consistent with previous studies. We also find that natural variability within the subtropical jet latitude would not prevent trends from being detected if they were similar to the Hadley cell edge, as trends greater than 0.24\({^\circ }\) per decade could reliably be detected using monthly data or 0.09\({^\circ }\) per decade using daily data. Despite the poleward expansion of the tropics, there is no robust evidence to suggest the subtropical jet is shifting poleward in either hemisphere. Neither the current diagnostic methods nor natural variability can account for the small subtropical jet trends. The most likely explanation, which requires further investigation, is that the subtropical jet position is not tied dynamically to the Hadley cell edge."
High-order algorithms for riesz derivative and their applications (IV),"The main goal of this article is to establish a new 4th-order numerical differential formula to approximate Riesz derivatives which is obtained by means of a newly established generating function. Then the derived formula is used to solve the Riesz space fractional advection-dispersion equation. Meanwhile, by the energy method, it is proved that the difference scheme is unconditionally stable and convergent with order 𝓞(τ2 + h4). Finally, several numerical examples are given to show that the numerical convergence orders of the numerical differential formulas and the finite difference scheme are in line with the theoretical analysis."
Robust stability analysis of LTI systems with fractional degree generalized frequency variables,"A novel linear time-invariant (LTI) system model with fractional degree generalized frequency variables (FDGFVs) is proposed in this paper. This model can provide a unified form for many complex systems, including fractional-order systems, distributed-order systems, multi-agent systems and so on. This study mainly investigates the stability and robust stability problems of LTI systems with FDGFVs. By characterizing the relationship between generalized frequency variable and system matrix, a necessary and sufficient stability condition is firstly presented for such systems. Then for LTI systems with uncertain FDGFVs, we present a robust stability method in virtue of zero exclusion principle. Finally, the effectiveness of the method proposed in this paper is demonstrated by analyzing the robust stability of gene regulatory networks."
Porous functions,"A new approach to modeling the geometric structure of real materials based on a new type of functions–porous functions–is introduced. The general concept, basic operations, operations of calculus, visualization and interpretations, and potential applications of porous functions are outlined."
Mass-conserving tempered fractional diffusion in a bounded interval,"Transient anomalous diffusion may be modeled by a tempered fractional diffusion equation. A reflecting boundary condition enforces mass conservation on a bounded interval. In this work, explicit and implicit Euler schemes for tempered fractional diffusion with discrete reflecting or absorbing boundary conditions are constructed. Discrete reflecting boundaries are formulated such that the Euler schemes conserve mass. Conditional stability of the explicit Euler methods and unconditional stability of the implicit Euler methods are established. Analytical steady-state solutions involving the Mittag-Leffler function are derived and shown to be consistent with late-time numerical solutions. Several numerical examples are presented to demonstrate the accuracy and usefulness of the proposed numerical schemes."
"Clinical risk prediction with random forests for survival, longitudinal, and multivariate (RF-SLAM) data analysis","Clinical research and medical practice can be advanced through the prediction of an individual’s health state, trajectory, and responses to treatments. However, the majority of current clinical risk prediction models are based on regression approaches or machine learning algorithms that are static, rather than dynamic. To benefit from the increasing emergence of large, heterogeneous data sets, such as electronic health records (EHRs), novel tools to support improved clinical decision making through methods for individual-level risk prediction that can handle multiple variables, their interactions, and time-varying values are necessary."
Liver fibrosis and accelerated immune dysfunction (immunosenescence) among HIV-infected Russians with heavy alcohol consumption - an observational cross-sectional study,"The multifactorial mechanisms driving negative health outcomes among risky drinkers with HIV may include immunosenescence. Immunosenescence, aging of the immune system, may be accentuated in HIV and leads to poor outcomes. The liver regulates innate immunity and adaptive immune tolerance. HIV-infected people have high prevalence of liver-related comorbidities. We hypothesize that advanced liver fibrosis/cirrhosis is associated with alterations in T-cell subsets consistent with immunosenescence."
