title,abstract
The Association Between Adiposity and Inpatient Hospital Costs in the UK Biobank Cohort,"High adiposity is associated with higher risks for a variety of adverse health outcomes, including higher rates of age-adjusted mortality and increased morbidity. This has important implications for the management of healthcare systems, since the endocrinal, cardiometabolic and other changes associated with increased adiposity may be associated with substantial healthcare costs."
Searching for the finance–growth nexus in Libya,"This paper investigates the causal relationship between financial development and economic growth in Libya during the period 1970–2016, providing new insights from a resource-dependent economy. The empirical results vary with estimation methodology and model specification, but indicate no long-run relationship between financial intermediation and nonhydrocarbon output growth. The OLS estimation shows that financial development has a statistically significant negative effect on real nonhydrocarbon GDP per capita growth. However, both the VAR- and ARDL-based estimations present statistically insignificant results, albeit still attaching a negative coefficient to financial intermediation. It appears that nonhydrocarbon economic activity depends largely on government spending, which is in turn determined by the country’s hydrocarbon earnings."
DeepM6ASeq: prediction and characterization of m6A-containing sequences using deep learning,"N6-methyladensine (m6A) is a common and abundant RNA methylation modification found in various species. As a type of post-transcriptional methylation, m6A plays an important role in diverse RNA activities such as alternative splicing, an interplay with microRNAs and translation efficiency. Although existing tools can predict m6A at single-base resolution, it is still challenging to extract the biological information surrounding m6A sites."
In silico design of MHC class I high binding affinity peptides through motifs activation map,"Finding peptides with high binding affinity to Class I major histocompatibility complex (MHC-I) attracts intensive research, and it serves a crucial part of developing a better vaccine for precision medicine. Traditional methods cost highly for designing such peptides. The advancement of computational approaches reduces the cost of new drug discovery dramatically. Compared with flourishing computational drug discovery area, the immunology area lacks tools focused on in silico design for the peptides with high binding affinity. Attributed to the ever-expanding amount of MHC-peptides binding data, it enables the tremendous influx of deep learning techniques for modeling MHC-peptides binding. To leverage the availability of these data, it is of great significance to find MHC-peptides binding specificities. The binding motifs are one of the key components to decide the MHC-peptides combination, which generally refer to a combination of some certain amino acids at certain sites which highly contribute to the binding affinity."
Predicting adverse drug reactions of combined medication from heterogeneous pharmacologic databases,"Early and accurate identification of potential adverse drug reactions (ADRs) for combined medication is vital for public health. Existing methods either rely on expensive wet-lab experiments or detecting existing associations from related records. Thus, they inevitably suffer under-reporting, delays in reporting, and inability to detect ADRs for new and rare drugs. The current application of machine learning methods is severely impeded by the lack of proper drug representation and credible negative samples. Therefore, a method to represent drugs properly and to select credible negative samples becomes vital in applying machine learning methods to this problem."
Single-cell gene expression analysis reveals β-cell dysfunction and deficit mechanisms in type 2 diabetes,"Type 2 diabetes (T2D) is one of the most common chronic diseases. Studies on T2D are mainly built upon bulk-cell data analysis, which measures the average gene expression levels for a population of cells and cannot capture the inter-cell heterogeneity. The single-cell RNA-sequencing technology can provide additional information about the molecular mechanisms of T2D at single-cell level."
A latent allocation model for the analysis of microbial composition and disease,"Establishing the relationship between microbiota and specific diseases is important but requires appropriate statistical methodology. A specialized feature of microbiome count data is the presence of a large number of zeros, which makes it difficult to analyze in case-control studies. Most existing approaches either add a small number called a pseudo-count or use probability models such as the multinomial and Dirichlet-multinomial distributions to explain the excess zero counts, which may produce unnecessary biases and impose a correlation structure taht is unsuitable for microbiome data."
A benchmark study of sequence alignment methods for protein clustering,"Protein sequence alignment analyses have become a crucial step for many bioinformatics studies during the past decades. Multiple sequence alignment (MSA) and pair-wise sequence alignment (PSA) are two major approaches in sequence alignment. Former benchmark studies revealed drawbacks of MSA methods on nucleotide sequence alignments. To test whether similar drawbacks also influence protein sequence alignment analyses, we propose a new benchmark framework for protein clustering based on cluster validity. This new framework directly reflects the biological ground truth of the application scenarios that adopt sequence alignments, and evaluates the alignment quality according to the achievement of the biological goal, rather than the comparison on sequence level only, which averts the biases introduced by alignment scores or manual alignment templates. Compared with former studies, we calculate the cluster validity score based on sequence distances instead of clustering results. This strategy could avoid the influence brought by different clustering methods thus make results more dependable."
Vaginal microbiome variances in sample groups categorized by clinical criteria of bacterial vaginosis,"One of the most common and recurrent vaginal infections is bacterial vaginosis (BV). The diagnosis is based on changes to the “normal” vaginal microbiome; however, the normal microbiome appears to differ according to reproductive status and ethnicity, and even among individuals within these groups. The Amsel criteria and Nugent score test are widely used for diagnosing BV; however, these tests are based on different criteria, and so may indicate distinct changes in the vaginal microbial community. Nevertheless, few studies have compared the results of these test against metagenomics analysis."
Genotype- and tissue-specific miRNA profiles and their targets in three alfalfa (Medicago sativa L) genotypes,"Alfalfa (Medicago sativa L.) is a forage legume with significant agricultural value worldwide. MicroRNAs (miRNAs) are key components of post-transcriptional gene regulation and essentially regulate many aspects of plant growth and development. Although miRNAs were reported in alfalfa, their expression profiles in different tissues and the discovery of novel miRNAs as well as their targets have not been described in this plant species."
A partially function-to-topic model for protein function prediction,"Proteins are a kind of macromolecules and the main component of a cell, and thus it is the most essential and versatile material of life. The research of protein functions is of great significance in decoding the secret of life. In recent years, researchers have introduced multi-label supervised topic model such as Labeled Latent Dirichlet Allocation (Labeled-LDA) into protein function prediction, which can obtain more accurate and explanatory prediction. However, the topic-label corresponding way of Labeled-LDA is associating each label (GO term) with a corresponding topic directly, which makes the latent topics to be completely degenerated, and ignores the differences between labels and latent topics."
Gut microbiome changes in overweight male adults following bowel preparation,"Human gut microbiome has an essential role in human health and disease. Although the major dominant microbiota within individuals have been reported, the change of gut microbiome caused by external factors, such as antibiotic use and bowel cleansing, remains unclear. We conducted this study to investigate the change of gut microbiome in overweight male adults after bowel preparation, where none of the participants had been diagnosed with any systemic diseases."
Revealing transcription factor and histone modification co-localization and dynamics across cell lines by integrating ChIP-seq and RNA-seq data,Interactions among transcription factors (TFs) and histone modifications (HMs) play an important role in the precise regulation of gene expression. The context specificity of those interactions and further its dynamics in normal and disease remains largely unknown. Recent development in genomics technology enables transcription profiling by RNA-seq and protein’s binding profiling by ChIP-seq. Integrative analysis of the two types of data allows us to investigate TFs and HMs interactions both from the genome co-localization and downstream target gene expression.
Poly-victimization among Secondary High School Students in Saudi Arabia,"Poly-victimization can occur during childhood resulting in adverse events on health and well–being. The aim of this study is to determine the prevalence of past year as well as lifetime prevalence of poly-victimization among adolescents in Saudi Arabia (SA). A cross-sectional study was conducted in the five main provinces of SA. Boys and girls (n = 16,010) from public and private secondary high schools were selected to participate in the study. Nearly three-quarters (72%) experienced poly-victimizations during their lives and two third (66%) during the past year. Participants living with extended family, and living with a biologic and step-parent were 1.3 and 1.9 times respectively more likely to be poly-victimized during their lives and were 1.2 and 1.7 times respectively during the past year. Public policy should be established that encourages social workers and child protection services to screen for poly-victimization in cases of suspected adolescent maltreatment."
Direct evidence of non-disk optical continuum emission around an active black hole,"Accretion onto black holes is key to their growth over cosmic time1, especially during the active galactic nuclei phase when the inflowing material forms a radiatively efficient accretion disk2. To probe the disk, indirect imaging methods such as reverberation mapping3,4,5,6 and microlensing7,8 are required. Recent findings suggest that the disk may be larger than theoretical predictions by a factor of a few4,6,9, thus casting doubt on our understanding of accretion in the general astrophysical context. Whether new physics is implied10,11,12 or poorly understood biases are in effect5,6,13,14 is a longstanding question. Here, we report new reverberation data based on a unique narrowband-imaging design15, and argue that time delays between adjacent optical bands are primarily associated with the reprocessing of light by a farther away under-appreciated non-disk component. This component is associated with high-density photoionized material that is uplifted from the outer accretion disk, probably by radiation-pressure force on dust, and thus may represent the long-sought origin of the broad-line region16. Our findings suggest that the optical phenomenology of some active galactic nuclei may be substantially affected by non-disk continuum emission with implications for measuring the fundamental properties of black holes and their active environs over cosmic time."
Chemotherapy elicits pro-metastatic extracellular vesicles in breast cancer models,"Cytotoxic chemotherapy is an effective treatment for invasive breast cancer. However, experimental studies in mice also suggest that chemotherapy has pro-metastatic effects. Primary tumours release extracellular vesicles (EVs), including exosomes, that can facilitate the seeding and growth of metastatic cancer cells in distant organs, but the effects of chemotherapy on tumour-derived EVs remain unclear. Here we show that two classes of cytotoxic drugs broadly employed in pre-operative (neoadjuvant) breast cancer therapy, taxanes and anthracyclines, elicit tumour-derived EVs with enhanced pro-metastatic capacity. Chemotherapy-elicited EVs are enriched in annexin A6 (ANXA6), a Ca2+-dependent protein that promotes NF-κB-dependent endothelial cell activation, Ccl2 induction and Ly6C+CCR2+ monocyte expansion in the pulmonary pre-metastatic niche to facilitate the establishment of lung metastasis. Genetic inactivation of Anxa6 in cancer cells or Ccr2 in host cells blunts the pro-metastatic effects of chemotherapy-elicited EVs. ANXA6 is detected, and potentially enriched, in the circulating EVs of breast cancer patients undergoing neoadjuvant chemotherapy."
Income Elasticity Decomposition Models and Determinants of U.S. Pharmaceutical Expenditures,"Prescription drugs are the third largest component of U.S. healthcare spending, and quickly growing. This novel study provides greater information on consumer behavior in the market for prescription drugs, and how that behavior may vary due to fluctuating economic conditions, using an annual panel dataset. Specifically, the research presented applied the income elasticity decomposition methodology to prescription drug expenditures, deriving both its quality and quantity components. Per capita gross domestic product and median home values were used interchangeably to test whether alternative income concepts affect income elasticity estimates. The system generalized method of moments three-stage least squares estimation results revealed that the: (a) 0.647 short-run income elasticity comprises 0.453 and 0.194 in quantity and quality components; (b) long-run income elasticity estimate of 0.167 has 0.027 and 0.140 quantity and quality components. Pharmaceuticals were found to behave as a necessity and normal good with significant tendencies for long-run consumption shifts towards quality. Further illustrated are supply and demand-side impacts, with policy implications for Medicare and Medicaid programs, among others."
Observation of higher-order topological acoustic states protected by generalized chiral symmetry,"Topological systems are inherently robust to disorder and continuous perturbations, resulting in dissipation-free edge transport of electrons in quantum solids, or reflectionless guiding of photons and phonons in classical wave systems characterized by topological invariants. Recently, a new class of topological materials characterized by bulk polarization has been introduced, and was shown to host higher-order topological corner states. Here, we demonstrate theoretically and experimentally that 3D-printed two-dimensional acoustic meta-structures can possess nontrivial bulk topological polarization and host one-dimensional edge and Wannier-type second-order zero-dimensional corner states with unique acoustic properties. We observe second-order topological states protected by a generalized chiral symmetry of the meta-structure, which are localized at the corners and are pinned to ‘zero energy’. Interestingly, unlike the ‘zero energy’ states protected by conventional chiral symmetry, the generalized chiral symmetry of our three-atom sublattice enables their spectral overlap with the continuum of bulk states without leakage. Our findings offer possibilities for advanced control of the propagation and manipulation of sound, including within the radiative continuum."
Multiferroic quantum criticality,"The zero-temperature limit of a continuous phase transition is marked by a quantum critical point, which can generate physical effects that extend to elevated temperatures. Magnetic quantum criticality is now well established, and has been explored in systems ranging from heavy fermion metals to quantum Ising materials. Ferroelectric quantum critical behaviour has also been recently demonstrated, motivating a flurry of research investigating its consequences. Here, we introduce the concept of multiferroic quantum criticality, in which both magnetic and ferroelectric quantum criticality occur in the same system. We develop the phenomenology of multiferroic quantum criticality and describe the associated experimental signatures, such as phase stability and modified scaling relations of observables. We propose several material systems that could be tuned to multiferroic quantum criticality utilizing alloying and strain as control parameters. We hope that these results stimulate exploration of the interplay between different kinds of quantum critical behaviours."
