title,abstract
A Finite Difference Method for the Variational p-Laplacian,"We propose a new monotone finite difference discretization for the variational p-Laplace operator, \(\Delta _pu=\text{ div }(|\nabla u|^{p-2}\nabla u),\) and present a convergent numerical scheme for related Dirichlet problems. The resulting nonlinear system is solved using two different methods: one based on Newton-Raphson and one explicit method. Finally, we exhibit some numerical simulations supporting our theoretical results. To the best of our knowledge, this is the first monotone finite difference discretization of the variational p-Laplacian and also the first time that nonhomogeneous problems for this operator can be treated numerically with a finite difference scheme."
"Alcanivorax limicola sp. nov., isolated from a soda alkali-saline soil","An alkaliphilic and aerobic bacterium, designated as strain JB21T, was isolated from a soda alkali-saline soil sample in Heilongjiang, Northeast China. Strain JB21T is a Gram-stain-negative, rod-shaped, non-motile and amylase-positive bacterium. Growth occurred at 15–45 °C (optimum, 35–37 °C), in the presence of 0–15.0% (w/v) NaCl (optimum, 1.0%) and at pH 6.5–10.5 (optimum, pH 8.5–9.5). Phylogenetic analysis based on 16S rRNA gene sequences showed that strain JB21T was most closely related to type strains of the genus Alcanivorax, with the highest sequence similarity to Alcanivorax indicus SW127T (96.3%), and shared 95.4–93.1% sequence identity with other valid type strains of this genus. The major cellular fatty acids identified were C16:0 and summed feature 8 (C18:1ω6c and/or C18:1ω7c). The polar lipids comprised phosphatidylethanolamine, phosphatidylglycerol and one unidentified phospholipid. The genomic G + C content of strain JB21T was 61.3 mol%. The digital DNA-DNA hybridization (dDDH) estimation and average nucleotide identity (ANI) between strain JB21T and type strains of the genus Alcanivorax were 18.3–23.2% and 69.2–79.0%, respectively. On the basis of its phenotypic and phylogenetic characteristics, we suggest the creation of a new species within the Alcanivorax genus, named Alcanivorax limicola sp. nov., type strain JB21T (= CGMCC 1.16632T = JCM 33717T)."
Selected aspects of a cold forging process for hollow balls,"This paper presents the results of a study investigating a cold forging process for producing hollow balls with different wall thicknesses. The study was performed by FEM numerical modelling, which made it possible to obtain a wide spectrum of results. For the analysis of FEM results obtained for problematic cases (shape defects in forged balls), novel hypotheses for results interpretation are proposed. The FEM numerical model and hypotheses are then verified via experimental testing, and selected theoretical results are compared with experimental findings. Finally, obtained results are discussed (e.g. the effect of billet dimensions on forging conditions, wall thickness and hole size), a method for FEM results interpretation is presented, and design-related solutions ensuring the production of defect-free hollow balls are proposed."
Anal endosonographic assessment of the accuracy of clinical diagnosis of obstetric anal sphincter injury,Obstetric anal sphincter injuries (OASIS) are a common cause of maternal morbidity with an overall incidence in the UK of 2.9% (range 0–8%). They can cause a range of physical symptoms and psychological distress. This study aims to assess the accuracy of clinical diagnosis of OASIS using endoanal ultrasound (EAUS) and the correlation between confirmed injury and change to anorectal physiology squeeze pressure and the incidence of bowel symptoms.
Conversion of lignin-derived 3-methoxycatechol to the natural product purpurogallin using bacterial P450 GcoAB and laccase CueO,"Purpurogallin is a natural benzotropolone extracted from Quercus spp, which has antioxidant, anticancer, and anti-inflammatory properties. Purpurogallin is typically synthesized from pyrogallol using enzymatic or metal catalysts, neither economically feasible nor environmentally friendly. 3-Methoxycatechol (3-MC) is a lignin-derived renewable chemical with the potential to be a substrate for the biosynthesis of purpurogallin. In this study, we designed a pathway to produce purpurogallin from 3-MC. We first characterized four bacterial laccases and identified the laccase CueO from Escherichia coli, which converts pyrogallol to purpurogallin. Then, we used CueO and the P450 GcoAB reported to convert 3-MC to pyrogallol, to construct a method for producing purpurogallin directly from 3-MC. A total of 0.21 ± 0.05 mM purpurogallin was produced from 5 mM 3-MC by whole-cell conversion. This study provides a new method to enable efficient and sustainable synthesis of purpurogallin and offers new insights into lignin valorization."
New ways of treatment of fractures of the humeral shaft: does the combination of intramedullary nail osteosynthesis and cerclage improve the healing process?,"The humeral shaft fracture is a rare fracture of the long bones with various treatment options. Dreaded complications such as lesions of the radial nerve or non-unions make the decision for what kind of therapy option more difficult. Biomechanically the upper arm is mostly exposed to rotational forces, which affect intramedullary nail osteosynthesis. Additive cerclage may compensate for these in spiral fractures. The aim of this study is to investigate what effect a combination of intramedullary nail osteosynthesis and limited invasive cerclage has on the rate of healing. In addition, this study addresses the question if complications arise as a result of cerclage."
Quantitative assessment of the central versus peripheral effect of intravenous clonidine using baroreflex equilibrium diagrams,"Clonidine is a first-generation central antihypertensive that reduces sympathetic nerve activity (SNA). Although clonidine also exerts peripheral vasoconstriction, the extent to which this vasoconstriction offsets the centrally mediated arterial pressure (AP)-lowering effect remains unknown. In anesthetized rats (n = 8), we examined SNA and AP responses to stepwise changes in carotid sinus pressure under control conditions and after intravenous low-dose (2 μg/kg) and high-dose clonidine (5 μg/kg). In the baroreflex equilibrium diagram analysis, the operating-point AP under the control condition was 115.2 (108.5–127.7) mmHg [median (25th–75th percentile range)]. While the operating-point AP after low-dose clonidine was not significantly different with or without the peripheral effect, the operating-point AP after high-dose clonidine was higher with the peripheral effect than without [81.3 (76.2–98.2) mmHg vs. 70.7 (57.7–96.9), P < 0.05]. The vasoconstrictive effect of clonidine partly offset the centrally mediated AP-lowering effect after high-dose administration."
Improving local prevalence estimates of SARS-CoV-2 infections using a causal debiasing framework,"Global and national surveillance of SARS-CoV-2 epidemiology is mostly based on targeted schemes focused on testing individuals with symptoms. These tested groups are often unrepresentative of the wider population and exhibit test positivity rates that are biased upwards compared with the true population prevalence. Such data are routinely used to infer infection prevalence and the effective reproduction number, Rt, which affects public health policy. Here, we describe a causal framework that provides debiased fine-scale spatiotemporal estimates by combining targeted test counts with data from a randomized surveillance study in the United Kingdom called REACT. Our probabilistic model includes a bias parameter that captures the increased probability of an infected individual being tested, relative to a non-infected individual, and transforms observed test counts to debiased estimates of the true underlying local prevalence and Rt. We validated our approach on held-out REACT data over a 7-month period. Furthermore, our local estimates of Rt are indicative of 1-week- and 2-week-ahead changes in SARS-CoV-2-positive case numbers. We also observed increases in estimated local prevalence and Rt that reflect the spread of the Alpha and Delta variants. Our results illustrate how randomized surveys can augment targeted testing to improve statistical accuracy in monitoring the spread of emerging and ongoing infectious disease."
External field-strengthened Ostwald nanowelding,"The accomplishment of nanowelding typically requires the input of high energy, possibly causing appreciable damages to the brittle nanomaterial. Herein, we report an external field (EF, i.e., light, direct current (DC), and alternating current (AC))-strengthened Ostwald nanowelding (ONW) strategy to enable low-temperature nanowelding of Au nanoparticles (NPs) with nanoscale spacing in solution and propose an electron localization mechanism to understand it. We reveal that the EF-derived local electrons not only greatly strengthen the dissolution of surface atoms and the reduction of Au3+ ions dissolved, but also confine (together with ordered water molecules) the transport of Au3+ ions within the nanogap. Consequently, the electrochemical Ostwald ripening (OR) process of the Au NPs is actively strengthened, which, along with the local electron-strengthened surface atom diffusion (as a result of the strong electrostatic repulsion created), enables feasible ONW for solution processing of interdigital electrodes (IDEs) from Au NPs and high-performance transparent conductor (TC) from Ag nanowires (NWs). Our low-temperature nanowelding strategy offers an efficient interconnection technique for the processing of functional nanodevices from individual nanomaterials."
Optimisation design and verification of the acoustic environment for multimedia classrooms in universities based on simulation,"The acoustic environment of the classroom is one of the most important factors influencing the teaching and learning effects of the teacher and students. It is critical to ensure good speech intelligibility in classrooms. However, due to some factors, it may not be easy to achieve an ideal classroom acoustic environment, especially in large-scale multimedia classrooms. In a real renovation project of 39 multimedia classrooms in a university, seven typical rooms were selected, and the acoustic environment optimisation design and verification for these multimedia classrooms were performed based on simulation. First, the acoustic and sound reinforcement design schemes were determined based on the room acoustics software ODEON. Next, the effects of the optimisation design were analysed, and the simulated and measured results were compared; the accuracy of using the reduced sound absorption coefficients, which were determined empirically, was also examined. Finally, the recommended reverberation times (RTs) in multimedia classrooms corresponding to speech intelligibility were discussed, the effectiveness of the speech transmission index (STI) as a primary parameter for classroom acoustic environment control was considered, and the acoustic environment under the unoccupied and occupied statuses was compared. The results revealed that although there are many factors influencing the effect of classroom acoustic environment control, an adequate result can be expected on applying the appropriate method. Considering both the acoustic design and visual requirements also makes the classroom likely to have a good visual effect in addition to having a good listening environment."
